,QLD_QQQ_SMA200,QQQ_BH,SPY_BH
2025-08-26,18953.363723740702,10283.677704592614,6600.3930898934395
2025-08-27,19007.862213681172,10299.377424884953,6615.392572669897
2025-08-28,19237.96694898537,10363.80041505007,6638.87452156821
2025-08-29,18777.757478376974,10243.977262474053,6599.255198096607
2025-09-02,18465.905008162066,10158.079942253895,6550.325850832719
2025-09-03,18747.48053952115,10238.02219615627,6585.910830661
2025-09-04,19089.609948591868,10330.59640891455,6640.943415744274
2025-09-05,19131.99766299001,10345.574302986548,6621.702699906888
2025-09-08,19319.71468389607,10396.102138410173,6637.943519188983
2025-09-09,19422.65627600584,10425.516556888924,6653.253336091847
2025-09-10,19434.767051548166,10428.945231435526,6672.494051929233
2025-09-11,19655.78870519562,10489.578633943871,6727.940415847718
2025-09-12,19825.33956278819,10535.955968600554,6725.664632254049
2025-09-15,20161.413584087746,10626.00378958765,6761.559946208742
2025-09-16,20115.99817580402,10617.161418388518,6752.2499224164585
2025-09-17,20031.222747007734,10595.867544888562,6743.870901003404
2025-09-18,20400.60140104869,10691.509519083276,6775.31809247956
2025-09-19,20667.038462979872,10763.872597672107,6808.937622840582
2025-09-22,20906.226279940813,10827.573761616886,6841.108927278361
2025-09-23,20624.650748581727,10755.571596138225,6803.868832109229
2025-09-24,20479.32144207381,10717.856176125591,6782.248887969371
2025-09-25,20297.659808938915,10671.659298023995,6750.905141202018
2025-09-26,20458.127584874735,10715.510240909494,6789.593462294394
2025-09-29,20642.816911895217,10765.135793557694,6808.730733422976
2025-09-30,20745.758504004985,10794.550212036445,6834.281576497353
2025-10-01,20945.58630045337,10846.34124334566,6857.660080686864
2025-10-02,21115.137158045934,10891.094469006583,6865.521878555904
2025-10-03,20924.3924432543,10845.07804746007,6865.4184338471
2025-10-06,21239.272607354786,10926.644410358202,6890.0382745422485
2025-10-07,21012.195565936163,10869.078769286289,6864.487431467873
2025-10-08,21490.571199858055,10993.593792294501,6905.451536153917
2025-10-09,21433.045016032007,10980.420463773342,6885.383262646107
2025-10-10,19931.30884878354,10599.115762880083,6699.286231509251
2025-10-13,20779.06313674638,10824.145087070285,6802.110272059576
2025-10-14,20503.54299315846,10751.96246503654,6793.8346953553255
2025-10-15,20782.090830631965,10827.934674727054,6823.93710561704
2025-10-16,20627.678442467302,10787.873319498325,6777.490431364428
2025-10-17,20891.0878105129,10858.612289091398,6815.971863039198
2025-10-20,21411.851158832935,10995.398357845343,6886.831488569352
